Date;Zone;Code Région;Taux de chômage
2016-04-01;Le Mans;52;10.3
2005-01-01;Le Mans;52;7.3
2011-01-01;Le Mans;52;8.8
2009-10-01;Le Mans;52;9.3
;Le Mans;52;
2004-10-01;Le Mans;52;7.4
2019-01-01;Le Mans;52;8.9
2010-07-01;Les Herbiers - Montaigu;52;4.9
2011-04-01;Les Herbiers - Montaigu;52;4.6
2009-04-01;Les Herbiers - Montaigu;52;5.6
2019-07-01;Les Herbiers - Montaigu;52;4.3
2009-01-01;Les Sables-d'Olonne;52;9.0
2017-04-01;Les Sables-d'Olonne;52;9.0
2003-07-01;Les Sables-d'Olonne;52;8.5
2020-10-01;Les Sables-d'Olonne;52;7.4
2008-04-01;Les Sables-d'Olonne;52;7.3
2016-07-01;Mayenne;52;6.6
2007-07-01;Mayenne;52;4.6
2014-07-01;Mayenne;52;6.6
2011-04-01;Mayenne;52;5.3
2017-01-01;Mayenne;52;6.2
2003-01-01;Mayenne;52;4.3
2003-10-01;Mayenne;52;5.0
